Author,Work,Country/Language
Luigi Pirandello,Naked Masks: Five Plays,Italy
"D'Annunzio, Gabriele.",Maia: In Praise of Life,Italy
Dino Campana,Orphic Songs,Italy
Umberto Saba,Stories and Recollections,Italy
Umberto Saba,Poems,Italy
"Lampedusa, Giuseppe Tomasi di.",The Leopard,Italy
Giuseppe Ungaretti,Selected Poems,Italy
Giuseppe Ungaretti,The Buried Harbour: Selected Poems,Italy
Eugenio Montale,The Storm and Other Things: Poems,Italy
Eugenio Montale,The Occasions: Poems,Italy
Eugenio Montale,Cuttlefish Bones: Poems,Italy
Eugenio Montale,Otherwise: Last and First Poems,Italy
Eugenio Montale,The Second Life of Art: Selected Essays,Italy
Salvatore Quasimodo,Selected Writings: Poems and Discourse on Poetry,Italy
Tommaso Landolfi,Gogol's Wife and Other Stories,Italy
Leonardo Sciascia,Day of the Owl,Italy
Leonardo Sciascia,Equal Danger,Italy
Leonardo Sciascia,The Wine-Dark Sea: Thirteen Stories,Italy
"Pasolini, Pier Paolo.",Poems,Italy
Cesare Pavese,Hard Labor: Poems,Italy
Cesare Pavese,Dialogues with Leucò,Italy
Primo Levi,"If Not Now, When?",Italy
Primo Levi,Collected Poems,Italy
Primo Levi,The Periodic Table,Italy
Italo Svevo,The Confession of Zeno,Italy
Italo Svevo,As a Man Grows Older,Italy
Giorgio Bassani,The Heron,Italy
Natalia Ginzburg,Family,Italy
Elio Vittorini,Women of Messina,Italy
Alberto Moravia,1934,Italy
Andrea Zanzotto,Selected Poetry,Italy
Italo Calvino,Invisible Cities,Italy
Italo Calvino,The Baron in the Trees,Italy
Italo Calvino,If on a Winter's Night a Traveler,Italy
Italo Calvino,t zero,Italy
Antonio Porta,Kisses from Another Dream: Poems,Italy
Miguel de Unamuno,Three Exemplary Novels,Spain
Miguel de Unamuno,Our Lord Don Quixote,Spain
Antonio Machado,Selected Poems,Spain
"Jiménez, Juan Ramón.",Invisible Reality: Poems,Spain
Pedro Salinas,My Voice Because of You: Poems,Spain
"Guillén, Jorge.",Guillén on Guillén: The Poetry and the Poet,Spain
Vicente Aleixandre,A Longing for the Light: Selected Poems,Spain
"Lorca, Federico Garcia.",Selected Poems,Spain
"Lorca, Federico Garcia.","Three Tragedies: Blood Wedding, Yerma, The House of Bernardo Alba",Spain
Rafael Alberti,The Owl's Insomnia: Poems,Spain
Luis Cernuda,Selected Poems,Spain
"Hernández, Miguel.",Selected Poems,Spain
Blas de Otero,Selected Poems,Spain
"Cela, Camilo José.",The Hive,Spain
Juan Goytisolo,Space in Motion,Spain
"Ribá, Carles.",Selected Poems,Catalonia
"Foix, J.V.",Selected Poems,Catalonia
Joan Perucho,Natural History,Catalonia
Merce Rodoreda,The Time of the Doves,Catalonia
Pere Gimferrer,Selected Poems,Catalonia
"Espríu, Salvador.",La Pell de Brau: Poems,Catalonia
Fernando Pessoa,The Keeper of Sheep,France
Fernando Pessoa,Poems,France
Fernando Pessoa,Selected Poems,France
Fernando Pessoa,Always,France
Astonished: Selected Poems,The Book of Disquiet,France
Jorge de Sena,Selected Poems,France
"Saramago, José.",Baltasar and Blimunda,France
José Cardoso Pires.,Ballad of Dogs' Beach,France
"Breyner, Sophia de Mello.",Selected Poems,France
"Andrade, Eugénio de.",Selected Poems,France
"Anatole France, 1844-1924",Penguin Island,France
"Anatole France, 1844-1924",Thaïs,France
Alain-Fournier.,Le Grand Meaulnes,France
"Marcel Proust, 1871-1922",Remembrance of Things Past (In Search of Lost Time),France
Andre Gide.,The Immoralist,France
Andre Gide.,Corydon,France
Andre Gide.,Lafcadio's Adventure (The Caves of the Vatican),France
Andre Gide.,The Journals,France
Colette.,Collected Stories,France
Colette.,Retreat from Love,France
Georges Bataille,Blue of Noon,France
"Céline, Louis-Ferdinand.",Journey to the End of Night,France
"Daumal, René.",Mount Analogue,France
Jean Genet,Our Lady of the Flowers,France
Jean Genet,The Thief's Journal,France
Jean Genet,The Balcony,France
Jean Giraudoux,Four Plays,France
Alfred Jarry,Selected Works,France
Jean Cocteau,The Infernal Machine and Other Works,France
Guillaume Apollinaire,Selected Writings,France
"Breton, André.",Poems,France
"Breton, André.",Manifestoes of Surrealism,France
"Valéry, Paul.",The Art of Poetry,France
"Valéry, Paul.",Selected Writings,France
"Char, René.",Poems,France
"Éluard, Paul.",Selected Poems,France
Louis Aragon,Selected Poems,France
Jean Giono,The Horseman on the Roof,France
Michel Leiris,Manhood,France
Raymond Radiguet,Count d'Orgel's Ball,France
"Sartre, Jean-Paul.",No Exit,France
"Sartre, Jean-Paul.",Nausea,France
"Sartre, Jean-Paul.",Saint Genet,France
"Sartre, Jean-Paul.",The Words,France
"Sartre, Jean-Paul.",The Family Idiot,France
"Sartre, Jean-Paul.",Gustave Flaubert,France
Simone de Beauvoir,The Second Sex,France
"Albert Camus, 1913-1960",The Stranger,France
"Albert Camus, 1913-1960",The Plague,France
"Albert Camus, 1913-1960",The Fall,France
"Albert Camus, 1913-1960",The Rebel,France
Henri Michaux,Selected Writings,France
"Jabès, Edmond.",The Book of Questions,France
"Jabès, Edmond.",Selected Poems,France
"Perse, Saint-John.",Anabasis,France
"Perse, Saint-John.",Birds,France
"Perse, Saint-John.",Exile and Other Poems,France
Pierre Reverdy,Selected Poems,France
Tristan Tzara,Seven Dada Manifestoes,France
Max Jacob,Selected Poems,France
"Jouve, Pierre-Jean.",Selected Poems,France
Francis Ponge,"Things: Selected Writings, tr. by Cid Corman",France
"Prévert, Jacques.",Paroles,France
Philippe Jacottet,"Selected Poems, tr. by Derek Mahon",France
"Péguy, Charles.",The Mystery of the Charity of Joan of Arc,France
"Péret, Benjamin.",Selected Poems,France
"Malraux, André.",The Conquerors,France
"Malraux, André.",The Royal Way,France
"Malraux, André.",Man's Fate,France
"Malraux, André.",Man's Hope,France
"Malraux, André.",The Voices of Silence,France
"Mauriac, François.",Therese,France
"Mauriac, François.",The Desert of Love,France
"Mauriac, François.","The Woman of the Pharisees, tr. by Gerard Hopkins",France
Jean Anouilh,Becket,France
Jean Anouilh,Antigone,France
Jean Anouilh,Eurydice,France
Jean Anouilh,The Rehearsal,France
"Ionesco, Eugène.",The Bald Soprano,France
"Ionesco, Eugène.",The Chairs,France
"Ionesco, Eugène.",The Lesson,France
"Ionesco, Eugène.",Amédée,France
"Ionesco, Eugène.",Victims of Duty,France
"Ionesco, Eugène.",Rhinoceros,France
Maurice Blanchot,"Thomas the Obscure, tr. by Robert Lamberton",France
Pierre Klossowski,The Laws of Hospitality,France
Pierre Klossowski,The Baphomet,France
Raymond Roussel,Locus Solus,France
Antonin Artaud,"Selected Writings, tr. by Helen Weaver",France
"Lévi-Strauss, Claude.",Tristes Tropiques,France
"Robbe-Grillet, Alain.",The Voyeur,France
"Robbe-Grillet, Alain.",Jealousy,France
"Robbe-Grillet, Alain.",In the Labyrinth,France
"Robbe-Grillet, Alain.",The Erasers,France
"Robbe-Grillet, Alain.",Project for a Revolution in New York,France
"Robbe-Grillet, Alain.","For a New Novel, tr. by Richard Howard",France
Nathalie Sarraute,"The Use of Speech, tr. by Barbara Wright",France
Nathalie Sarraute,"The Planetarium, tr. by Maria Jolas",France
Claude Simon,The Grass,France
Claude Simon,The Wind,France
Claude Simon,"The Flanders Road, tr. by Richard Howard",France
Marguerite Duras,"The Lover, tr. by Barbara Bray",France
Marguerite Duras,"Four Novels, tr. by Sonia Pitt-Rivers and others",France
Robert Pinget,Fable,France
Robert Pinget,The Libera Me Domine,France
Robert Pinget,"That Voice, tr. by Barbara Wright",France
Michel Tournier,The Ogre,France
Michel Tournier,Friday,France
Marguerite Yourcenar,Coup de Grace,France
Marguerite Yourcenar,Memoirs of Hadrian,France
Jean Follain,"Transparance of the World: Poems, tr. by W. S. Merwin",France
Yves Bonnefoy,"Words in Stone, tr. by Susanna Lang",France
"Yeats, W. B. (William Butler), 1865-1939",The Collected Poems,Great Britain and Ireland
"Yeats, W. B. (William Butler), 1865-1939",Collected Plays,Great Britain and Ireland
"Yeats, W. B. (William Butler), 1865-1939",A Vision,Great Britain and Ireland
"Yeats, W. B. (William Butler), 1865-1939",Mythologies,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Major Critical Essays,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Heartbreak House,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Pygmalion,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Saint Joan,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Major Barbara,Great Britain and Ireland
"George Bernard Shaw, 1856-1950",Back to Methuselah,Great Britain and Ireland
"John Millington Synge, 1871-1909",Collected Plays,Great Britain and Ireland
Sean O'Casey.,Juno and the Paycock,Great Britain and Ireland
Sean O'Casey.,The Plough and the Stars,Great Britain and Ireland
Sean O'Casey.,The Shadow of a Gunman,Great Britain and Ireland
"George Douglas Brown, 1869-1902",The House with the Green Shutters,Great Britain and Ireland
"Thomas Hardy, 1840-1928",The Well-Beloved,Great Britain and Ireland
"Thomas Hardy, 1840-1928",The Woodlanders,Great Britain and Ireland
"Thomas Hardy, 1840-1928",The Return of the Native,Great Britain and Ireland
"Thomas Hardy, 1840-1928",The Mayor of Casterbridge,Great Britain and Ireland
"Thomas Hardy, 1840-1928",Far From the Madding Crowd,Great Britain and Ireland
"Thomas Hardy, 1840-1928",Tess of the D'Urbervilles,Great Britain and Ireland
"Thomas Hardy, 1840-1928",Jude the Obscure,Great Britain and Ireland
"Thomas Hardy, 1840-1928",Collected Poems,Great Britain and Ireland
"Rudyard Kipling, 1865-1936",Kim,Great Britain and Ireland
"Rudyard Kipling, 1865-1936",Collected Stories,Great Britain and Ireland
"Rudyard Kipling, 1865-1936",Puck of Pook's Hill,Great Britain and Ireland
"Rudyard Kipling, 1865-1936",Complete Verse,Great Britain and Ireland
"Housman, A. E., 1859-1936",Collected Poems,Great Britain and Ireland
"Max Beerbohm, 1872-1956","Zuleika Dobson, Seven Men and Two Others",Great Britain and Ireland
"Joseph Conrad, 1857-1924",Lord Jim,Great Britain and Ireland
"Joseph Conrad, 1857-1924",The Secret Agent,Great Britain and Ireland
"Joseph Conrad, 1857-1924",Nostromo,Great Britain and Ireland
"Joseph Conrad, 1857-1924",Under Western Eyes,Great Britain and Ireland
"Joseph Conrad, 1857-1924",Victory,Great Britain and Ireland
"Ronald Firbank, 1886-1926",Five Novels,Great Britain and Ireland
"Ford Madox Ford, 1873-1939",Parade's End,Great Britain and Ireland
"Ford Madox Ford, 1873-1939",The Good Soldier,Great Britain and Ireland
"W. Somerset Maugham, 1874-1965",Collected Short Stories,Great Britain and Ireland
"W. Somerset Maugham, 1874-1965",The Moon and Sixpence,Great Britain and Ireland
"John Cowper Powys, 1872-1963",Wolf Solent,Great Britain and Ireland
"John Cowper Powys, 1872-1963",A Glastonbury Romance,Great Britain and Ireland
"Saki, 1870-1916",The Short Stories,Great Britain and Ireland
"Wells, H. G., 1866-1946",The Science Fiction Novels,Great Britain and Ireland
"David Lindsay, 1876-1945",A Voyage to Arcturus,Great Britain and Ireland
"Arnold Bennett, 1867–1931.",The Old Wives' Tale,Great Britain and Ireland
"Walter De la Mare, 1873-1956",Collected Poems,Great Britain and Ireland
"Walter De la Mare, 1873-1956",Memoirs of a Midget,Great Britain and Ireland
Wilfred Owen,Collected Poems,Great Britain and Ireland
Isaac Rosenberg,Collected Poems,Great Britain and Ireland
Edward Thomas,Collected Poems,Great Britain and Ireland
Robert Graves,Collected Poems,Great Britain and Ireland
Robert Graves,King Jesus,Great Britain and Ireland
David Jones,In Parenthesis,Great Britain and Ireland
David Jones,The Anathemata,Great Britain and Ireland
"John Galsworthy, 1867-1933",The Forsyth Saga,Great Britain and Ireland
E.M. Forster,Howard's End,Great Britain and Ireland
E.M. Forster,A Passage to India,Great Britain and Ireland
"Frank O'Connor, 1903-1966",Collected Stories,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",Complete Poems,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",Studies in Classic American Literature,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",Complete Short Stories,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",Sons and Lovers,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",The Rainbow,Great Britain and Ireland
"Lawrence, D. H., 1885-1930",Women in Love,Great Britain and Ireland
"Virginia Woolf, 1882-1941",Mrs. Dalloway,Great Britain and Ireland
"Virginia Woolf, 1882-1941",To the Lighthouse,Great Britain and Ireland
"Virginia Woolf, 1882-1941",Orlando: A Biography,Great Britain and Ireland
"Virginia Woolf, 1882-1941",The Waves,Great Britain and Ireland
"Virginia Woolf, 1882-1941",Between the Acts,Great Britain and Ireland
"James Joyce, 1882-1941",Dubliners,Great Britain and Ireland
"James Joyce, 1882-1941",Portrait of the Artist as a Young Man,Great Britain and Ireland
"James Joyce, 1882-1941",Ulysses,Great Britain and Ireland
"James Joyce, 1882-1941",Finnegans Wake,Great Britain and Ireland
Samuel Beckett,Murphy,Great Britain and Ireland
Samuel Beckett,Watt,Great Britain and Ireland
Samuel Beckett,"Molloy, Malone Dies, The Unnameable",Great Britain and Ireland
Samuel Beckett,Waiting for Godot,Great Britain and Ireland
Samuel Beckett,Endgame,Great Britain and Ireland
Samuel Beckett,Krapp's Last Tape,Great Britain and Ireland
Samuel Beckett,How It Is,Great Britain and Ireland
"Elizabeth Bowen, 1899-1973",Collected Stories,Great Britain and Ireland
"J.G. Farrell, 1935-1979",The Siege of Krishnapur,Great Britain and Ireland
Henry Green,Nothing,Great Britain and Ireland
Henry Green,Loving,Great Britain and Ireland
Henry Green,Party Going,Great Britain and Ireland
Evelyn Waugh,A Handful of Dust,Great Britain and Ireland
Evelyn Waugh,Scoop,Great Britain and Ireland
Evelyn Waugh,Vile Bodies,Great Britain and Ireland
Evelyn Waugh,Put Out More Flags,Great Britain and Ireland
Anthony Burgess,Nothing Like the Sun,Great Britain and Ireland
"Edwards, G.B.",The Book of Ebenezer Le Page,Great Britain and Ireland
Iris Murdoch,The Good Apprentice,Great Britain and Ireland
Iris Murdoch,Bruno's Dream,Great Britain and Ireland
Graham Greene,Brighton Rock,Great Britain and Ireland
Graham Greene,The Heart of the Matter,Great Britain and Ireland
Graham Greene,The Power and the Glory,Great Britain and Ireland
Christopher Isherwood,The Berlin Stories,Great Britain and Ireland
Norman Douglas,South Wind,Great Britain and Ireland
Aldous Huxley,Collected Essays,Great Britain and Ireland
Aldous Huxley,Antic Hay,Great Britain and Ireland
Aldous Huxley,Point Counter Point,Great Britain and Ireland
Aldous Huxley,Brave New World,Great Britain and Ireland
Lawrence Durrell,The Alexandria Quartet,Great Britain and Ireland
William Golding,Pincher Martin,Great Britain and Ireland
Doris Lessing,The Golden Notebook,Great Britain and Ireland
Mervyn Peake,The Gormenghast Trilogy,Great Britain and Ireland
Jeanette Winterson,The Passion,Great Britain and Ireland
"Auden, W.H.",Collected Poems,Great Britain and Ireland
"Auden, W.H.",The Dyer's Hand,Great Britain and Ireland
Roy Fuller,Collected Poems,Great Britain and Ireland
Gavin Ewart,Selected Poems,Great Britain and Ireland
Basil Bunting,Collected Poems,Great Britain and Ireland
William Empson,Collected Poems,Great Britain and Ireland
William Empson,Milton's God,Great Britain and Ireland
William Empson,Some Versions of Pastoral,Great Britain and Ireland
"Knight, George Wilson.",The Wheel of Fire,Great Britain and Ireland
"Knight, George Wilson.",The Burning Oracle,Great Britain and Ireland
"Thomas, R.S.",Poems,Great Britain and Ireland
Frank Kermode,The Sense of an Ending,Great Britain and Ireland
Stevie Smith,Collected Poems,Great Britain and Ireland
"Prince, F.T.",Collected Poems,Great Britain and Ireland
Philip Larkin,Collected Poems,Great Britain and Ireland
Donald Davie,Selected Poems,Great Britain and Ireland
Geoffrey Hill,Selected Poems,Great Britain and Ireland
Jonathan Spence,The Death of Woman Wang,Great Britain and Ireland
Jonathan Spence,The Memory Palace of Matteo Ricci,Great Britain and Ireland
Elizabeth Jennings,Selected Poems,Great Britain and Ireland
Keith Douglas,The Complete Poems,Great Britain and Ireland
"MacDiarmid, Hugh.",Complete Poems,Great Britain and Ireland
"MacNeice, Louis.",Collected Poems,Great Britain and Ireland
"Dylan Thomas, 1914-1953",The Poems,Great Britain and Ireland
Nigel Dennis,Cards of Identity,Great Britain and Ireland
Seamus Heaney,Selected Poems: 1969-1987,Great Britain and Ireland
Seamus Heaney,Field Work,Great Britain and Ireland
Seamus Heaney,Station Island,Great Britain and Ireland
Thomas Kinsella,Peppercanister Poems,Great Britain and Ireland
Paul Muldoon,Selected Poems,Great Britain and Ireland
John Montague,Selected Poems,Great Britain and Ireland
John Arden,Plays,Great Britain and Ireland
Joe Orton,The Complete Plays,Great Britain and Ireland
"Flann O'Brian,",The Dalkey Archive,Great Britain and Ireland
"Flann O'Brian,",The Third Policeman,Great Britain and Ireland
Tom Stoppard,Travesties,Great Britain and Ireland
Harold Pinter,The Caretaker,Great Britain and Ireland
Harold Pinter,The Homecoming,Great Britain and Ireland
Edward Bond,The Fool,Great Britain and Ireland
Edward Bond,Saved,Great Britain and Ireland
"George Orwell, 1903-1950",Collected Essays,Great Britain and Ireland
"George Orwell, 1903-1950",1984,Great Britain and Ireland
"O'Brian, Edna.",A Fanatic Heart,Great Britain and Ireland
Hugo von Hofmannsthal,"Poems and Verse Plays, tr. by Michael Hamburger and others",Germany
Hugo von Hofmannsthal,"Selected Prose, tr. by James Huttinger and Tania and James Stern",Germany
Hugo von Hofmannsthal,"Selected Plays and Libretti, tr. by Michael Hamburger and others",Germany
"Rilke, Rainer Maria.",Selected Poetry,Germany
"Rilke, Rainer Maria.",The Sonnets to Orpheus,Germany
"Rilke, Rainer Maria.",The Notebooks of Malte Laurids Brigge all tr. by Stephen Mitchell,Germany
"Rilke, Rainer Maria.","New Poems: First Part and Other Part, tr. by Edward Snow",Germany
Hermann Broch,The Sleepwalkers,Germany
Hermann Broch,The Death of Virgil,Germany
Hermann Broch,Hugo von Hofmannsthal and His Time,Germany
Georg Trakl,Selected Poems,Germany
Gottfried Benn,Selected Poems,Germany
"Franz Kafka, 1883–1924",Amerika,Germany
"Franz Kafka, 1883–1924",The Complete Stories,Germany
"Franz Kafka, 1883–1924",The Blue Octavo Notebook,Germany
"Franz Kafka, 1883–1924",The Trial,Germany
"Franz Kafka, 1883–1924",Diaries,Germany
"Franz Kafka, 1883–1924",The Castle,Germany
"Franz Kafka, 1883–1924","Parables, Fragments, Aphorisms",Germany
Bertolt Brecht,Poems 1913-1956,Germany
Bertolt Brecht,"The Threepenny Opera, tr. by Desmond Vesey and Eric Bentley",Germany
Bertolt Brecht,"The Good Woman of Setzuan, tr. by Eric Bentley",Germany
Bertolt Brecht,"Galileo, tr. by Charles Laughton",Germany
Bertolt Brecht,The Caucasian Chalk Circle,Germany
Arthur Schnitzler,Plays,Germany
Arthur Schnitzler,Stories,Germany
Frank Wedekind,Lulu Plays,Germany
Frank Wedekind,"Spring Awakening, tr. by Edward Bond",Germany
Karl Kraus,The Last Days of Mankind,Germany
"Eich, Günter.",Moles,Germany
Thomas Mann,The Magic Mountain,Germany
Thomas Mann,Stories of Three Decades,Germany
Thomas Mann,Joseph and His Brothers,Germany
Thomas Mann,Doctor Faustus,Germany
Thomas Mann,"Confessions of Felix Krull, Confidence Man",Germany
"Döblin, Alfred.",Berlin Alexanderplatz,Germany
Hermann Hesse,The Glass Bead Game (Magister Ludi),Germany
Hermann Hesse,Narcissus and Goldmund,Germany
Robert Musil,Young Törless,Germany
Robert Musil,The Man Without Qualities,Germany
Joseph Roth,The Radetzky March,Germany
Paul Celan,"Poems, tr. by Michael Hamburger",Germany
Thomas Bernhard,Woodcutters,Germany
"Böll, Heinrich.",Billiards at Half-Past Nine,Germany
Ingeborg Bachmann,"In the Storm of Roses, tr. by Mark Anderson",Germany
"Enzensberger, Hans Magnus.",Poems for People Who Don't Read Poems,Germany
Walter Benjamin,Illuminations,Germany
Robert Walser,"Selected Stories, tr. by Christopher Middleton et al",Germany
Christa Wolf,Cassandra,Germany
Peter Handke,Slow Homecoming,Germany
Max Frisch,I'm Not Stiller,Germany
Max Frisch,Man in the Holocene,Germany
"Grass, Günter.",The Tin Drum,Germany
"Grass, Günter.",The Flounder,Germany
"Dürrenmatt, Friedrich.",The Visit,Germany
Johannes Bobrowski,"Shadow Lands, tr. by Ruth and Matthew Mead",Germany
Anna Akhmatova,"Poems, tr. by Stanley Kunitz and Max Hayward",Russia
Leonid Andreyev,Selected Tales,Russia
Andrey Bely,Petersburg,Russia
Osip Mandelshtam,"Selected Poems, tr. by Clarence Brown and W. S. Merwin",Russia
Velimir Khlebnikov,The King of Time,Russia
Vladimir Mayakovsky,"The Bedbug and Selected Poetry, tr. by Max Hayward and George Reavey",Russia
Mikhail Bulgatov,The Master and Margherita,Russia
Mickhail Kuzmin,Alexandrian Songs,Russia
"Maksim Gorky, 1868-1936","Reminiscences of Tolstoy, Chekhov, and Andreev",Russia
"Maksim Gorky, 1868-1936",Autobiography,Russia
Ivan Bunin,Selected Stories,Russia
Isaac Babel,Collected Stories,Russia
Boris Pasternak,Doctor Zhivago,Russia
Boris Pasternak,"Selected Poems, tr. by Jon Stallworthy and Peter France",Russia
Yury Olesha,Envy,Russia
Marina Tsvetayeva,"Selected Poems, tr. by Elaine Feinstein",Russia
Mikhail Zoshchenko,Nervous People and Other Satires,Russia
Andrei Platonov,The Foundation Pit,Russia
Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,Russia
Aleksandr Solzhenitsyn,The Cancer Ward,Russia
Aleksandr Solzhenitsyn,The Gulag Archipelago,Russia
Aleksandr Solzhenitsyn,August 1914,Russia
Joseph Brodsky,A Part of Speech: Poems,Russia
Isak Dineson,Winter's Tales,Scandinavia
Isak Dineson,Seven Gothic Tales,Scandinavia
"Nexo, Martin Anderson.",Pelle the Conqueror,Scandinavia
"Knut Hamsun, 1859-1952",Hunger,Scandinavia
"Knut Hamsun, 1859-1952",Pan,Scandinavia
Sigrid Undset,Kristin Lavransdatter,Scandinavia
"Ekelöf, Gunnar.","Guide to the Underworld, tr. by Rika Lesser",Scandinavia
"Tranströmer, Tomas.",Selected Poems,Scandinavia
"Lagerkvist, Pär.",Barrabas,Scandinavia
Lars Gustafsson,Selected Poems,Scandinavia
Ivo Andric,The Bridge on the Drina,Serbian/Croatian
Vasko Popa,Selected Poems,Serbian/Croatian
Danilo Kis,A Tomb for Boris Davidovich,Serbian/Croatian
"Karel Čapek, 1890-1938",War with the Newts,Czech
"Karel Čapek, 1890-1938",R.U.R,Czech
